TxPower_1,TxPower_2,TxPower_3,TxPower_4,Bandwidth_1,Bandwidth_2,Bandwidth_3,Bandwidth_4,SCS_1,SCS_2,SCS_3,SCS_4,DACResolution_1,DACResolution_2,DACResolution_3,DACResolution_4,NumRFs_1,NumRFs_2,NumRFs_3,NumRFs_4,DataRate_1,DataRate_2,DataRate_3,DataRate_4,TotalPower_1,TotalPower_2,TotalPower_3,TotalPower_4
40,40,40,40,20,40,20,40,30,30,30,30,10,10,10,10,32,32,64,64,526103200,827365600,723964800,1494927200,92.8833921786064,96.5809461772541,115.600552914013,122.883692895308
55,55,55,55,20,40,20,40,30,30,30,30,10,10,10,10,32,32,64,64,526103200,856055200,730212800,1494927200,833.452807220701,837.153230179349,860.857927972772,868.140443154067
